Degree,Year,Term,Course Code,Course / Requirement,Milestone,Credits
Bachelor of Arts in Accounting,First Year,Fall,BA 101Z,Introduction to Business,,4
Bachelor of Arts in Accounting,First Year,Fall,BA 199,Special Studies: [Topic] – Academic Residential Community or FIG Seminar,,1
Bachelor of Arts in Accounting,First Year,Fall,MATH 111Z,Precalculus I: Functions,,4
Bachelor of Arts in Accounting,First Year,Fall,(Language),First term of 1st-year second-language sequence,,5
Bachelor of Arts in Accounting,First Year,Fall,SUBTOTAL,Term Credits,,14
Bachelor of Arts in Accounting,First Year,Winter,EC 201Z,Principles of Microeconomics,,4
Bachelor of Arts in Accounting,First Year,Winter,MATH 241,Calculus for Business and Social Science I,,4
Bachelor of Arts in Accounting,First Year,Winter,WR 121Z,Composition I,,4
Bachelor of Arts in Accounting,First Year,Winter,(Language),Second term of 1st-year second-language sequence,,5
Bachelor of Arts in Accounting,First Year,Winter,SUBTOTAL,Term Credits,,17
Bachelor of Arts in Accounting,First Year,Spring,EC 202Z,Principles of Macroeconomics,,4
Bachelor of Arts in Accounting,First Year,Spring,WR 122Z,Composition II,,4
Bachelor of Arts in Accounting,First Year,Spring,(Language),Third term of 1st-year second-language sequence,,5
Bachelor of Arts in Accounting,First Year,Spring,(Core-AL),Core-education course in arts and letters,,4
Bachelor of Arts in Accounting,First Year,Spring,SUBTOTAL,Term Credits,,17
Bachelor of Arts in Accounting,Second Year,Fall,BA 211Z,Principles of Financial Accounting,,4
Bachelor of Arts in Accounting,Second Year,Fall,STAT 243Z,Elementary Statistics I,,4
Bachelor of Arts in Accounting,Second Year,Fall,(Language),First term of 2nd-year second-language sequence,,4-5
Bachelor of Arts in Accounting,Second Year,Fall,(Core-SS),Core-education course in social science + cultural literacy,,4
Bachelor of Arts in Accounting,Second Year,Fall,SUBTOTAL,Term Credits,,16-17
Bachelor of Arts in Accounting,Second Year,Winter,BA 213Z,Principles of Managerial Accounting,,4
Bachelor of Arts in Accounting,Second Year,Winter,BA 169Z,Data Analysis Using Microsoft Excel,,4
Bachelor of Arts in Accounting,Second Year,Winter,(Language),Second term of 2nd-year second-language sequence,,4-5
Bachelor of Arts in Accounting,Second Year,Winter,(Core-Sci),Core-education course in science,,4
Bachelor of Arts in Accounting,Second Year,Winter,SUBTOTAL,Term Credits,,16-17
Bachelor of Arts in Accounting,Second Year,Spring,BA 308,Leadership and Communication,,4
Bachelor of Arts in Accounting,Second Year,Spring,(Language),Third term of 2nd-year second-language sequence,,4-5
Bachelor of Arts in Accounting,Second Year,Spring,(Core-AL),Core-education course in arts and letters + cultural literacy,,4
Bachelor of Arts in Accounting,Second Year,Spring,(Core-Sci),Core-education course in science,,4
Bachelor of Arts in Accounting,Second Year,Spring,SUBTOTAL,Term Credits,,16-17
Bachelor of Arts in Accounting,Third Year,Fall,ACTG 350,Intermediate Accounting I,,4
Bachelor of Arts in Accounting,Third Year,Fall,OBA 311,Business Analytics I,,4
Bachelor of Arts in Accounting,Third Year,Fall,(Core-AL),Core-education course in arts and letters,,4
Bachelor of Arts in Accounting,Third Year,Fall,SUBTOTAL,Term Credits,,12
Bachelor of Arts in Accounting,Third Year,Winter,ACTG 351,Intermediate Accounting II,,4
Bachelor of Arts in Accounting,Third Year,Winter,FIN 316,Financial Management,,4
Bachelor of Arts in Accounting,Third Year,Winter,OBA 312,Business Analytics II,,4
Bachelor of Arts in Accounting,Third Year,Winter,(Core-AL),Core-education course in arts and letters,,4
Bachelor of Arts in Accounting,Third Year,Winter,SUBTOTAL,Term Credits,,16
Bachelor of Arts in Accounting,Third Year,Spring,ACTG 352,Intermediate Accounting III,,4
Bachelor of Arts in Accounting,Third Year,Spring,FIN 311,Economic Foundations of Competitive Analysis,,4
Bachelor of Arts in Accounting,Third Year,Spring,MGMT 311,Managing People in Organizations,,4
Bachelor of Arts in Accounting,Third Year,Spring,(CABD),Cultural Awareness for Business Decisions course,,4
Bachelor of Arts in Accounting,Third Year,Spring,SUBTOTAL,Term Credits,,16
Bachelor of Arts in Accounting,Fourth Year,Fall,ACTG 450,Advanced Financial Accounting,Attend Meet the Firms,4
Bachelor of Arts in Accounting,Fourth Year,Fall,ACTG 470,Federal Taxation,,4
Bachelor of Arts in Accounting,Fourth Year,Fall,MKTG 311,Marketing Management,,4
Bachelor of Arts in Accounting,Fourth Year,Fall,SUBTOTAL,Term Credits,,12
Bachelor of Arts in Accounting,Fourth Year,Winter,ACTG 360,Cost Accounting,Apply for graduation,4
Bachelor of Arts in Accounting,Fourth Year,Winter,BA 322,Fundamentals of Sustainable Business,,4
Bachelor of Arts in Accounting,Fourth Year,Winter,BA 325,Business Law and Ethics,,4
Bachelor of Arts in Accounting,Fourth Year,Winter,OBA 335,Operations Management,,4
Bachelor of Arts in Accounting,Fourth Year,Winter,SUBTOTAL,Term Credits,,16
Bachelor of Arts in Accounting,Fourth Year,Spring,ACTG 440,Auditing,Register for commencement,4
Bachelor of Arts in Accounting,Fourth Year,Spring,BA 453,Business Strategy and Planning,,4
Bachelor of Arts in Accounting,Fourth Year,Spring,(Elective),Elective course,,4
Bachelor of Arts in Accounting,Fourth Year,Spring,SUBTOTAL,Term Credits,,12
Bachelor of Arts in Accounting,,,TOTAL,Total Credits,,180-183

