Degree,Year,Term,Course Code,Course / Requirement,Milestone,Credits
Bachelor of Science in Business Administration,First Year,Fall,BA 101Z,Introduction to Business,,4
Bachelor of Science in Business Administration,First Year,Fall,MATH 111Z,Precalculus I: Functions,,4
Bachelor of Science in Business Administration,First Year,Fall,(Core-AL),Core-ed: Arts & letters + cultural literacy,,4
Bachelor of Science in Business Administration,First Year,Fall,(Core-SS),Core-ed: Social science,,4
Bachelor of Science in Business Administration,First Year,Fall,SUBTOTAL,Term Credits,,16
Bachelor of Science in Business Administration,First Year,Winter,EC 201Z,Principles of Microeconomics,,4
Bachelor of Science in Business Administration,First Year,Winter,MATH 241,Calculus for Business and Social Science I,,4
Bachelor of Science in Business Administration,First Year,Winter,WR 121Z,Composition I,,4
Bachelor of Science in Business Administration,First Year,Winter,(Core-AL),Core-ed: Arts & letters,,4
Bachelor of Science in Business Administration,First Year,Winter,SUBTOTAL,Term Credits,,16
Bachelor of Science in Business Administration,First Year,Spring,EC 202Z,Principles of Macroeconomics,,4
Bachelor of Science in Business Administration,First Year,Spring,WR 122Z,Composition II,,4
Bachelor of Science in Business Administration,First Year,Spring,(Core-AL),Core-ed: Arts & letters + cultural literacy,,4
Bachelor of Science in Business Administration,First Year,Spring,(Elective),Elective course,,4
Bachelor of Science in Business Administration,First Year,Spring,SUBTOTAL,Term Credits,,16
Bachelor of Science in Business Administration,Second Year,Fall,BA 211Z,Principles of Financial Accounting,,4
Bachelor of Science in Business Administration,Second Year,Fall,STAT 243Z,Elementary Statistics I,,4
Bachelor of Science in Business Administration,Second Year,Fall,(Core-AL),Core-ed: Arts & letters,,4
Bachelor of Science in Business Administration,Second Year,Fall,(Elective-UD),Upper-division business elective course,,4
Bachelor of Science in Business Administration,Second Year,Fall,SUBTOTAL,Term Credits,,16
Bachelor of Science in Business Administration,Second Year,Winter,BA 213Z,Principles of Managerial Accounting,,4
Bachelor of Science in Business Administration,Second Year,Winter,BA 169Z,Data Analysis Using Microsoft Excel,,4
Bachelor of Science in Business Administration,Second Year,Winter,(Core-Sci),Core-ed: Science,,4
Bachelor of Science in Business Administration,Second Year,Winter,(Elective),Elective course,,4
Bachelor of Science in Business Administration,Second Year,Winter,SUBTOTAL,Term Credits,,16
Bachelor of Science in Business Administration,Second Year,Spring,BA 308,Leadership and Communication,,4
Bachelor of Science in Business Administration,Second Year,Spring,OBA 311,Business Analytics I,,4
Bachelor of Science in Business Administration,Second Year,Spring,(Core-Sci),Core-ed: Science,,4
Bachelor of Science in Business Administration,Second Year,Spring,(CABD),Cultural Awareness for Business Decisions course,,4
Bachelor of Science in Business Administration,Second Year,Spring,SUBTOTAL,Term Credits,,16
Bachelor of Science in Business Administration,Third Year,Fall,MGMT 311,Managing People in Organizations,,4
Bachelor of Science in Business Administration,Third Year,Fall,OBA 312,Business Analytics II,,4
Bachelor of Science in Business Administration,Third Year,Fall,(Core-Sci),Core-ed: Science,,4
Bachelor of Science in Business Administration,Third Year,Fall,SUBTOTAL,Term Credits,,12
Bachelor of Science in Business Administration,Third Year,Winter,FIN 316,Financial Management,,4
Bachelor of Science in Business Administration,Third Year,Winter,MKTG 311,Marketing Management,,4
Bachelor of Science in Business Administration,Third Year,Winter,OBA 335,Operations Management,,4
Bachelor of Science in Business Administration,Third Year,Winter,(Elective),Elective course,,4
Bachelor of Science in Business Administration,Third Year,Winter,SUBTOTAL,Term Credits,,16
Bachelor of Science in Business Administration,Third Year,Spring,FIN 311,Economic Foundations of Competitive Analysis,,4
Bachelor of Science in Business Administration,Third Year,Spring,(Elective-UD),Upper-division business elective course,,4
Bachelor of Science in Business Administration,Third Year,Spring,(Core-Sci),Core-ed: Science,,4
Bachelor of Science in Business Administration,Third Year,Spring,(Elective),Elective course,,4
Bachelor of Science in Business Administration,Third Year,Spring,SUBTOTAL,Term Credits,,16
Bachelor of Science in Business Administration,Fourth Year,Fall,BA 325,Business Law and Ethics,,4
Bachelor of Science in Business Administration,Fourth Year,Fall,BA 322,Fundamentals of Sustainable Business,,4
Bachelor of Science in Business Administration,Fourth Year,Fall,(Elective-UD),Upper-division business elective courses (×2),,8
Bachelor of Science in Business Administration,Fourth Year,Fall,SUBTOTAL,Term Credits,,16
Bachelor of Science in Business Administration,Fourth Year,Winter,BA 453,Business Strategy and Planning,Apply for graduation,4
Bachelor of Science in Business Administration,Fourth Year,Winter,(Elective-UD),Upper-division business elective courses (×2),,8
Bachelor of Science in Business Administration,Fourth Year,Winter,SUBTOTAL,Term Credits,,12
Bachelor of Science in Business Administration,Fourth Year,Spring,(Elective-UD),Upper-division business elective courses (×2),Register for commencement,8
Bachelor of Science in Business Administration,Fourth Year,Spring,(Elective),Elective course,,4
Bachelor of Science in Business Administration,Fourth Year,Spring,SUBTOTAL,Term Credits,,12
Bachelor of Science in Business Administration,,,TOTAL,Total Credits,,180
