CHANGE_FROM,TO
CIS 102,CS 102
CIS 110,CS 110
CIS 111,CS 111
CIS 122,CS 122
CIS 210,CS 210
CIS 211,CS 211
CIS 212,CS 212
CIS 313,CS 313
CIS 314,CS 314
CIS 315,CS 315
CIS 322,CS 322
CIS 330,CS 330
CIS 333,CS 333
CIS 372M,CS 372M
CIS 413,CS 413
CIS 415,CS 415
CIS 420,CS 420
CIS 422,CS 422
CIS 423,CS 423
CIS 425,CS 425
CIS 429,CS 429
CIS 431,CS 431
CIS 432,CS 432
CIS 433,CS 433
CIS 436,CS 436
CIS 441,CS 441
CIS 443,CS 443
CIS 445,CS 445
CIS 451,CS 451
CIS 453,CS 453
CIS 461,CS 461
CIS 471,CS 471
CIS 472,CS 472
CIS 473,CS 473
MATH 111,MATH 111Z
MATH 112,MATH 112Z
MATH 251,MATH 251Z
MATH 252,MATH 252Z
MATH 253,MATH 253Z
BA 101,BA 101Z
EC 201,EC 201Z
EC 202,EC 202Z
WR 121,WR 121Z
WR 122,WR 122Z
BA 211,BA 211Z
STAT 243,STAT 243Z
MATH 243,STAT 243Z
BA 213,BA 213Z
BA 169,BA 169Z
