YEAR,TERM,SUBJ,NUMB,TITLE
1,1,BA,101Z,Introduction to Business
1,1,MATH,111Z,Precalculus I: Functions
1,2,EC,201Z,Principles of Microeconomics
1,2,MATH,241,Calculus for Business and Social Science I
1,2,WR,121Z,Composition I
1,3,EC,202Z,Principles of Macroeconomics
1,3,WR,122Z,Composition II
2,1,BA,211Z,Principles of Financial Accounting
2,1,STAT,243Z,Elementary Statistics I
2,2,BA,213Z,Principles of Managerial Accounting
2,2,BA,169Z,Data Analysis Using Microsoft Excel
2,3,BA,308,Leadership and Communication
2,3,OBA,311,Business Analytics I
3,1,MGMT,311,Managing People in Organizations
3,1,OBA,312,Business Analytics II
3,2,FIN,316,Financial Management
3,2,MKTG,311,Marketing Management
3,2,OBA,335,Operations Management
3,3,FIN,311,Economic Foundations of Competitive Analysis
4,1,BA,325,Business Law and Ethics
4,1,BA,322,Fundamentals of Sustainable Business
4,2,BA,453,Business Strategy and Planning
