YEAR,TERM,SUBJ,NUMB,TITLE
1,1,CS,122,Introduction to Programming and Problem Solving
1,1,MATH,112Z,Precalculus II: Trigonometry
1,1,WR,121Z,Composition I
1,2,CS,210,Computer Science I
1,2,MATH,251Z,Differential Calculus
1,2,WR,122Z,Composition II
1,3,CS,211,Computer Science II
1,3,MATH,252Z,Integral Calculus
2,1,CS,212,Computer Science III
2,1,MATH,231,Elements of Discrete Mathematics I
2,2,CS,314,Computer Organization
2,2,MATH,232,Elements of Discrete Mathematics II
2,3,HC,301H,Introduction to Software Engineering
2,3,MATH,253Z,Calculus: Sequences and Series
3,1,CS,313,Intermediate Data Structures
3,1,MATH,253Z,Calculus: Sequences and Series
3,1,HC,301H,Scientific and Technical Writing
3,2,CS,315,Intermediate Algorithms
3,2,CS,330,C/C++ and Unix
3,3,CS,415,Operating Systems
3,3,PHIL,223,Data Ethics
4,1,CS,425,Principles of Programming Languages
4,2,CS,422,Software Methodology I
