TERM,TERM_DESC,SUBJ,NUMB,TITLE,CRN,INSTRUCTOR,AP,A,AM,BP,B,BM,CP,C,CM,DP,D,DM,F,P,N,OTHER,W,TOT_NON_W
201502,Winter 2016,AA,404,Intern White Box,20101,"Moss, Cristopher ",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
201502,Winter 2016,AAA,321,Inclusive Urbanism,27061,"Davis, Howard P",0,9,4,3,5,2,1,0,0,0,0,0,0,4,1,0,1,29
201502,Winter 2016,AAA,408,Wrk Basic Design Portf,27338,"Dellabough, Kassia ",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,19
201502,Winter 2016,AAA,408,Wrk Career Exploration,27340,"Dellabough, Kassia ",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,22
201502,Winter 2016,AAA,408,Wrk Creative Entrepren,27342,"Dellabough, Kassia ",0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,3,4,30
201502,Winter 2016,AAA,408,Wrk Indv Brand Strateg,27344,"Ames Dionisio, Wendy Marie",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,18
201502,Winter 2016,AAA,408,Wrk Interview Skills,27346,"Guerra, Richard Stephen",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,18
201502,Winter 2016,AAA,408,Wrk Interview Skills,27348,"Guerra, Richard Stephen",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,20
201502,Winter 2016,AAA,408,Wrk Job & Intern Srch,27350,"Guerra, Richard Stephen",0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,0,4,30
201502,Winter 2016,AAA,408,Wrk Res & Covr Let Dev,27352,"Grieger, Kristin Lynn Hunt",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,21
201502,Winter 2016,AAA,508,Wrk Creative Entrepren,27343,"Dellabough, Kassia ",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
201502,Winter 2016,AAA,508,Wrk Indv Brand Strateg,27345,"Ames Dionisio, Wendy Marie",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
201502,Winter 2016,AAA,508,Wrk Job & Intern Srch,27351,"Guerra, Richard Stephen",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
201502,Winter 2016,AAA,508,Wrk Res & Covr Let Dev,27353,"Grieger, Kristin Lynn Hunt",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3
201502,Winter 2016,AAA,604,Internship,20113,"Dellabough, Kassia ",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
201502,Winter 2016,AAAP,410,Bldg Constr History,26688,"Heath, Kingston W",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2
201502,Winter 2016,AAAP,410,Hist Amer Bldgs Survey,26259,"Sardell, Shannon Mical",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2
201502,Winter 2016,AAAP,435,Hist Archaeology Prsv,20121,"Minor, Ricky Lee",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2
201502,Winter 2016,AAAP,451,Hist Surv & Inv Meth,27362,"Tochihara, Tama Keiko",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
201502,Winter 2016,AAAP,503,Thesis,20123,"Davis, Howard P",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
201502,Winter 2016,AAAP,503,Thesis,20123,"Heath, Kingston W",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
201502,Winter 2016,AAAP,510,Bldg Constr History,26689,"Heath, Kingston W",2,2,3,2,1,2,0,0,0,0,0,0,0,0,0,0,1,12
201502,Winter 2016,AAAP,510,Hist Amer Bldgs Survey,26260,"Sardell, Shannon Mical",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,8
201502,Winter 2016,AAAP,535,Hist Archaeology Prsv,20127,"Minor, Ricky Lee",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5
201502,Winter 2016,AAAP,551,Hist Surv & Inv Meth,27363,"Tochihara, Tama Keiko",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,11
201502,Winter 2016,AAAP,601,Research,20129,"Allsopp, Lauren Brook",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
201502,Winter 2016,AAAP,601,Research,20129,"Hutterer, Maile Sophia",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
201502,Winter 2016,AAAP,605,Reading and Research,20131,"Heath, Kingston W",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
201502,Winter 2016,AAAP,606,Sp Pr Teton Arch Surv,20132,"Heath, Kingston W",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
201502,Winter 2016,AAAP,609,Prac Internship I,20133,"Grieger, Kristin Lynn Hunt",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,12
201502,Winter 2016,AAAP,611,Terminal Project,20134,"Allsopp, Lauren Brook",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
201502,Winter 2016,AAAP,611,Terminal Project,20134,"Bell, Christopher Squibb",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2
201502,Winter 2016,AAAP,611,Terminal Project,20134,"Carter, Elizabeth Jean",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
201502,Winter 2016,AAAP,611,Terminal Project,20134,"Godfrey, Anne C",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
201502,Winter 2016,AAAP,611,Terminal Project,20134,"Minor, Ricky Lee",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
201502,Winter 2016,AAAP,611,Terminal Project,20134,"Peting, Donald Lee",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
201502,Winter 2016,AAAP,611,Terminal Project,20134,"Ranzetta, Kirk Edwards",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
201502,Winter 2016,AAAP,611,Terminal Project,20134,"Sardell, Shannon Mical",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
201502,Winter 2016,AAD,199,Sp St Art Meet Science,20135,"Voelker-Morris, Julie Louise",2,5,0,1,2,0,0,0,2,0,0,0,0,0,1,0,0,13
201502,Winter 2016,AAD,250,Art & Human Values,20137,"Bretz, David Le Roy",0,43,14,9,4,4,1,0,1,0,0,0,2,2,1,0,0,81
201502,Winter 2016,AAD,250,Art & Human Values,26589,"Huette, Scott Edward",0,20,0,0,12,0,0,4,0,0,0,0,0,2,1,0,2,39
201502,Winter 2016,AAD,250,Art & Human Values,26590,"Gurley, Gregory C",0,23,3,4,2,3,1,0,1,1,0,0,0,1,0,0,1,39
201502,Winter 2016,AAD,250,Art & Human Values,26592,"Turner, David Graves",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,38
201502,Winter 2016,AAD,251,Arts & Visual Literacy,26488,"Turner, David Graves",0,45,7,6,13,3,0,3,0,0,0,0,0,3,0,0,0,80
201502,Winter 2016,AAD,251,Arts & Visual Literacy,26594,"Gurley, Gregory C",0,29,5,2,0,1,0,2,0,1,0,0,0,0,0,0,0,40
